comment_text,author,likes,published_at,channel_id,reply_count
"So all along, the movie was never bad. It's just that they didn't use the good parts in the first trailer. But behind that horrible teaser trailer was a good movie.",@this.heathers.fan.is.autistic,2,2025-01-28 23:28:05+00:00,UCaGJroRmDEm4Rmb8_n9FFhw,0
Did Steve beat the dragon? Because they have elytra’s. Not one. TWO,@BustoMakesVideos,1,2025-01-29 02:19:13+00:00,UCZPQ4gD9EDcTQEYD8sM8zYw,0
As a tennis ball I yearned for the yoylelite 😂,@Poopiedookiedoo,0,2025-01-29 02:37:40+00:00,UC7gkH5FSWGecU6h0HIt6Lqw,0
"It looks way better than the first trailer but half of the actors are really annoying (the beard dude, the big dude and the depressed girl).",@mrrandom1265,1,2025-01-29 03:23:47+00:00,UCmTjSyyQAJL1QavAc4ZkGUg,0
Now why can't the in game graphics look like this?,@merisonola,0,2025-01-29 04:22:37+00:00,UCegHuq9KgCiC_nvo4q9AHpg,0
This looks like the original sonic trailer but 100x worse. They have already screwed this movie,@tysoncottam893,0,2025-01-29 04:44:52+00:00,UCPW8AZLV9IuMNuVdWw5O2fw,0
"The good thing about this movie is if it's ""nostalgia"" for some kids, at least it's going to have a banger (the music in 1:06)",@BroReallyFoundThis,0,2025-01-29 04:57:52+00:00,UCqE7EVgIg00BCDxn6ucMvJw,0
I call it THE Minecraft Movie. IDK why it is A Minecraft Movie. That is just dumb,@MillseyYT,0,2025-01-29 06:07:07+00:00,UCq9t2c00FgYkSsFnDrwxl0w,0
"I wish it was a complete animated movie, just looks out of place putting real people in a world of CGI and greenscreen. Could have taken the Lego movie approach",@justpassingby3158,1,2025-01-29 12:15:51+00:00,UCeNoqpys6y2512p8kQhWUcA,0
"Mojang what is this, characters need to be square, why is the nether portal blue",@nabermüdür10,2,2025-01-29 12:27:51+00:00,UC1NMnQ94G0E4p3Yn7OPrAaw,1
It really tried to correct stuff however this movie is pointless and why are they human like and jack black is not Steve god this just an awful idea awful lol,@moviemadness8545,2,2025-01-29 13:47:15+00:00,UCFkVyPRYnoBOZTpC2kzZbVg,0
I mean... I know it's a cash grab. But at least it looks hella accurate to the games.,@gjbsarmeri3957,0,2025-01-29 19:45:36+00:00,UC9Vj8LHBnAYWY6U8YNmXDhQ,0
Piglins should turn zombifed because they aren't in the nether- 1:27,@n_Idiott,2,2025-01-29 20:26:03+00:00,UCgt6L8zoyV3n6WI0Mf0oofg,0
not gonna lie this movie is starting to look good now. i dont really like the look of steves design and the weird off-grid mishapen blocks but it still looks good.,@zippdoesstuffyt,1,2025-01-29 22:39:10+00:00,UCEru7YfBfK3URvKNwdmhaGg,0
Bro Dogman is going to do better than this movie just because the plot line is better 😭😭🙏,@Zeekes_19,0,2025-01-29 23:55:35+00:00,UCL-SDUinWx0ORRmZveHF2Yg,0
Why do people think this is better than the first one? Its still trash guys. Are yall woke washed or just high on positivity pills?,@Schlauermxnsch,0,2025-01-30 00:02:13+00:00,UCJW8VAmaWxeS_v_-4S7Dt7w,2
Could of just kept the real life version in the beginning and when he teleported in look like a Minecraft character animated thou,@mrrmgaming6922,0,2025-01-30 01:27:21+00:00,UCe9VUxPWI6rtx7zAvwcgb4w,0
"""As a child I yearned for the mines""
Nice! More sweatshop labor!",@Palladium000,0,2025-01-30 04:10:55+00:00,UCQwndJ_fQ0xx72XTIF_Hl1w,0
they really used the roundest man to play the blockiest character,@chiemorrison7117,2,2025-01-30 10:45:04+00:00,UC8CS720wKVjIVwRTYmps_Aw,0
I'm excited it releases in my summer break and birthday,@donstephenarias5580,1,2025-01-30 11:31:39+00:00,UCxxPiumdar05R6YCuMiRDeQ,0
Too bad Jack Black is a radical left Marxist lol,@AnaterZ,2,2025-01-30 15:24:24+00:00,UCSSNvYkqOE9gVg-DS2gTMWw,0
"I unironically kind of want to watch this, besides C418.",@pepitocarman,0,2025-01-30 15:49:19+00:00,UCN4soUCQWrODFTctToguttw,0
"IM EXCITED FOR THE MINECRAFT MOVIE, i was obsessed with MINECRAFT FOR YEARS i have a collection of MINECRAFT toys",@Scp-8125,1,2025-01-30 18:20:11+00:00,UCV_bN2U7fzhCSwhAsMozlvg,0
"Man this movie looks so cringe, can’t wait till it comes out so I can enjoy it and not complain about it at all",@unny5739,2,2025-01-30 19:37:04+00:00,UCPPv6nFJsUJ_nOws59zQtJg,0
"A Minecraft Movie is rated PG for violence/action, language, suggestive/rude humor and some scary images.......",@roxytheunicorn9781,0,2025-01-30 22:54:33+00:00,UChn4rz0-tOhWG5Up7A0IdwQ,0
Jack black as Steve is a utter disservice to Minecraft as a whole.,@tmbatrex2245,0,2025-01-31 03:50:44+00:00,UCwEvKFNwxuQNJOVrIUuIKzw,0
Yo what’s the name of this shaders pack and voice mod?,@local_basement_rat,0,2025-01-31 06:02:21+00:00,UCPV6IpRSXy6ajsD2EvEAXFw,0
I dont care how bad it is. Im still gonna watch it and say its good.,@notbreadcrumbs,1,2025-01-31 07:31:21+00:00,UCUKNTd3V6CrkALyziad-6yQ,1
"Still won’t watch it. 

Should’ve been 100% animated. Also, tf is the story even about? Either way, it makes 0 f sense.",@JackZebra,3,2025-01-31 12:37:28+00:00,UCspwYkz_NsNrUj0VFSHzG-w,1
And that was the only one I had... no biggie,@lunaandrine8567,0,2025-01-31 17:05:11+00:00,UCSP0fkZfoFKIyFpbml5uGRA,0
Me encanta el trailer es mucho mejor que el anterior,@DReposteras,2,2025-01-31 17:47:26+00:00,UCzZfBwKlrVJfxXKrnVWyJOg,0
"1:28 ermmm dont pigeons turn zombified if they go into the overworld?
*piglins",@JustZumbieyes,0,2025-02-01 01:44:29+00:00,UCfOoSz3NJC85yHZD_cvsVrA,0
"So the plot is Fallen Kingdom story

The piglins attempting to takeover the overworld 

Dear god",@LambFlameman,1,2025-02-01 06:53:49+00:00,UCJZSTwAkgYoNT_vpxQHONAg,0
1:21 looks like those realistic physics fluids i feel like theyre leaning into it fr,@CamelCraft_,0,2025-02-01 13:24:31+00:00,UC4-Q7Ff4HB-UyJHOhxYpBMQ,0
Since Jack Black plays in Jumanji Khun fu panda Goosebumps and the voice of Bowser in super Mario bros movie,@IsraelJimenez-np3fv,1,2025-02-01 16:07:41+00:00,UCrpIhELH1GXaODhuovJVJBA,0
"Minecraft was my first ever game that I played and after seeing this I wish this was released few decades later after I’m dead, so at least i know it never existed.",@ARKed069,0,2025-02-01 16:26:19+00:00,UCKx6cUOkG1hpjBvsuU3ficw,0
they're ABSOLUTELY messing with the thumbs up/down numbers on this one.  Their first video has 1.8 million thumbs down.  This trailer has the exact opposite ratio.,@jacobcook7,0,2025-02-01 20:57:33+00:00,UCy7LA0wJR6QTM_3S1hAFQCQ,0
"There is alot of dislikes for this trailer, idk why all the hate. Is it just because of Jack Black?",@SuperLapplander,0,2025-02-01 22:16:41+00:00,UC5592r0fFmLZPikit6z-VYA,1
"How this movie should've been
as soon as you enter the portal it became animated. that would've saved the movie but nope its just live action terrible live action.",@MidnightVCoco,0,2025-02-01 22:47:46+00:00,UCAnyE4W8wpEyzScBtSYJjwA,0
I'm so glad that it's coming out on my birthday,@Dodofan874,0,2025-02-02 02:15:21+00:00,UCtS_8nqZiSh-ENHCcloiIwg,0
If they get rid of Jack black id watch it.,@bigbeefjoedaddy,1,2025-02-02 02:59:13+00:00,UC7wAAlvIqyVLXUnV3rLzAAw,0
Bro literally only has a blue shirt 😂😂 no costume? They slapped a shirt on him and said “DONE.”,@Knojay_0,0,2025-02-02 03:07:20+00:00,UCIstcn2oTOhzmEtbhE6w1tA,0
"Yknow, I usually get goosebumps no matter what trailer Im watching

This gave me nothing",@Angie_fluffy_bootz_official,0,2025-02-02 03:24:09+00:00,UCfSAcPbA7iKVF8-assB-puw,0
"""Only in theaters 2025"" 
If i go in 2026, will it be gone?",@DutchBrosOnTop,1,2025-02-02 05:15:00+00:00,UC38cxqPJGS0H95sTO5oBTsw,0
This is going to be the greatest movie of all time !!,@liliumpthpumpernickle8462,1,2025-02-02 06:31:10+00:00,UCkumb5-xd91_xI6aKtByB5w,0
